D & B Used Cars|111 Old Benbrook Rd|817-555-5555
33456|2023|Jeep|Grand Cherokee|SUV|White|8234|42995.0
44567|2022|Ford|F-150|truck|Blue|12453|38995.0
55678|2021|Tesla|Model 3|car|Red|22341|35995.0
66789|2020|Subaru|Outback|SUV|Green|45678|24995.0
77890|2019|Dodge|Challenger|car|Black|38921|27995.0
88901|2023|Toyota|Tacoma|truck|Gray|5234|39995.0
99012|2018|Honda|Odyssey|van|Silver|67234|19995.0
11123|2022|Hyundai|Tucson|SUV|Blue|18234|26995.0
22234|2017|Chevrolet|Corvette|car|Red|29341|45995.0
33345|2023|Ford|Bronco|SUV|Orange|4521|47995.0
44456|2016|Toyota|Highlander|SUV|White|78234|18995.0
55567|2020|Kia|Telluride|SUV|Black|34521|31995.0
66678|2019|Ram|1500|truck|Silver|52341|28995.0
77789|2022|Mazda|CX-5|SUV|Red|15234|29995.0
